,PC1_loadings
centile_CT_bankssts,0.2021999210407966
centile_CT_caudalanteriorcingulate,0.04451616942660381
centile_CT_caudalmiddlefrontal,0.21015663294046794
centile_CT_cuneus,0.1486396328639831
centile_CT_entorhinal,0.0559096555346873
centile_CT_fusiform,0.19639913640390186
centile_CT_inferiorparietal,0.22576613199151369
centile_CT_inferiortemporal,0.20717215369361414
centile_CT_isthmuscingulate,0.0689118988200352
centile_CT_lateraloccipital,0.17656442024443453
centile_CT_lateralorbitofrontal,0.1504959891782994
centile_CT_lingual,0.13771698569571708
centile_CT_medialorbitofrontal,0.14120051145195456
centile_CT_middletemporal,0.18480961846583763
centile_CT_parahippocampal,0.0796775708528972
centile_CT_paracentral,0.1744093382722742
centile_CT_parsopercularis,0.20503781984502537
centile_CT_parsorbitalis,0.1856491019618172
centile_CT_parstriangularis,0.21309847711092264
centile_CT_pericalcarine,0.08038102610447175
centile_CT_postcentral,0.17926642526154138
centile_CT_posteriorcingulate,0.10206665826466194
centile_CT_precentral,0.18557181687973423
centile_CT_precuneus,0.21442081515870812
centile_CT_rostralanteriorcingulate,0.08017653455598824
centile_CT_rostralmiddlefrontal,0.2194168856027579
centile_CT_superiorfrontal,0.22253877665663574
centile_CT_superiorparietal,0.22346272180194326
centile_CT_superiortemporal,0.21681338899354283
centile_CT_supramarginal,0.21244902292992784
centile_CT_frontalpole,0.13778089861798448
centile_CT_temporalpole,0.1124526470644587
centile_CT_transversetemporal,0.1644928060602954
centile_CT_insula,0.17515818219324825
