,OPC,rois
0,0.4959379874299773,L_bankssts
1,0.5873599325059028,L_caudalanteriorcingulate
2,0.49345054783333614,L_caudalmiddlefrontal
3,0.47166201164128196,L_cuneus
4,0.603920577108216,L_entorhinal
5,0.5097418628361018,L_fusiform
6,0.4908998757539076,L_inferiorparietal
7,0.5137336250211793,L_inferiortemporal
8,0.48571908151834714,L_isthmuscingulate
9,0.49009297033203536,L_lateraloccipital
10,0.5082810109354841,L_lateralorbitofrontal
11,0.46293229026758415,L_lingual
12,0.5324130460600186,L_medialorbitofrontal
13,0.49729937298041493,L_middletemporal
14,0.5574302943143082,L_parahippocampal
15,0.4743151708496373,L_paracentral
16,0.5064220388689352,L_parsopercularis
17,0.502108860684243,L_parsorbitalis
18,0.5035606305191127,L_parstriangularis
19,0.47403462174605665,L_pericalcarine
20,0.46470397450677015,L_postcentral
21,0.5104759945532582,L_posteriorcingulate
22,0.4825144692446636,L_precentral
23,0.48191956713810097,L_precuneus
24,0.5568882920797463,L_rostralanteriorcingulate
25,0.5011760451952895,L_rostralmiddlefrontal
26,0.5132113784552328,L_superiorfrontal
27,0.4787764039794254,L_superiorparietal
28,0.5095270700491883,L_superiortemporal
29,0.4752984320783873,L_supramarginal
30,0.55992049505959,L_frontalpole
31,0.5568740200555058,L_temporalpole
32,0.5091552192008131,L_transversetemporal
33,0.5262161119059934,L_insula
34,0.524476554746106,R_bankssts
35,0.5728812984349618,R_caudalanteriorcingulate
36,0.5109501532805268,R_caudalmiddlefrontal
37,0.46767020086126326,R_cuneus
38,0.6090341430233139,R_entorhinal
39,0.49709099434143117,R_fusiform
40,0.471102792574227,R_inferiorparietal
41,0.5161156691131842,R_inferiortemporal
42,0.5291338049408884,R_isthmuscingulate
43,0.48477127564900613,R_lateraloccipital
44,0.5218003807384954,R_lateralorbitofrontal
45,0.4710955097404981,R_lingual
46,0.5234201442714814,R_medialorbitofrontal
47,0.5224115395730903,R_middletemporal
48,0.5745009525674221,R_parahippocampal
49,0.46941015329247615,R_paracentral
50,0.49752208337108306,R_parsopercularis
51,0.5328146965206212,R_parsorbitalis
52,0.4946371977729715,R_parstriangularis
53,0.47220334657101914,R_pericalcarine
54,0.475473748552299,R_postcentral
55,0.49734839575693796,R_posteriorcingulate
56,0.46982971758279607,R_precentral
57,0.46274389256038917,R_precuneus
58,0.5931301312925071,R_rostralanteriorcingulate
59,0.5078960752173501,R_rostralmiddlefrontal
60,0.5373746140206381,R_superiorfrontal
61,0.4978837825568823,R_superiorparietal
62,0.5108631089266683,R_superiortemporal
63,0.46927268351090956,R_supramarginal
64,0.6020860231049435,R_frontalpole
65,0.49714144710108044,R_temporalpole
66,0.5406372725869878,R_transversetemporal
67,0.5076375136247445,R_insula
